,date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO,company,review_title_None,cons_use strengths lacked appropriate tools training specialized projects advice management mandating disability leave force employee workplace illegal use strengths lacked appropriate tools training specialized projects advice management mandating disability leave force employee workplace illegal,pros_None,advice_to_mgmt_mandating disability leave force employee workplace illegal mandating disability leave force employee workplace illegal
65,Fri Nov 10 2017,Anonymous,,Former Employee ,,21,opportunities professional training technical classes creo cad gd green black belt certifications well industry specific training material cost excellence leadership,,,1.0,,,,,,Doesn't Recommend,,,Paccar,0.0,0.0,0.8316,0.0
66,Sun Sep 17 2017,Anonymous,,Current Employee ,,6,plan several health ins plans choose fsa option life disability ins fortunate enough stress fortunate plan several health ins plans choose fsa option life disability ins fortunate enough stress fortunate,,,3.0,4.0,3.0,3.0,3.0,3.0,Recommends,Neutral Outlook,Approves of CEO,Paccar,0.0,0.0,0.7184,0.0
67,Tue Sep 15 2020, Senior Big Data Engineer,"Branchville, NJ",Former Employee ,,4,,place ever event noticed people different race separated management never involve people race get including vp not trustable advice management please make sure diversity work 4 selective insurance response september 30 2020 – employee,please make sure diversity work,1.0,1.0,1.0,1.0,1.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO,Selective Insurance Group,0.0,0.2259,0.0,0.5574
68,Wed Aug 19 2020,Anonymous,"Branchville, NJ",Former Employee ,age discrimination abounds age discrimination abounds,6,,,,1.0,1.0,1.0,1.0,2.0,1.0,Doesn't Recommend,Neutral Outlook,Approves of CEO,Selective Insurance Group,0.0,0.0,0.0,0.0
69,Wed Jul 22 2020, Applications Developer,"Branchville, NJ",Current Employee ,,3,,favorites information management advice management diversity inclusion good panel needs really look favorites information management advice management diversity inclusion good panel needs really look inclusion good panel needs really look racism favoritism organization 3 selective insurance response july,diversity inclusion good panel needs really look diversity inclusion good panel needs really look inclusion good panel needs really look racism favoritism organization,3.0,1.0,1.0,1.0,3.0,1.0,Doesn't Recommend,Neutral Outlook,Approves of CEO,Selective Insurance Group,0.0,0.8867,0.0,0.6756
70,Wed Feb 15 2017, Underwriter,,Former Employee ,,1,,underwriting not putting premium books cheapest price diversify hiring practices internal advancement opportunities 1,underwriting not putting premium books cheapest price diversify hiring practices internal advancement opportunities,2.0,3.0,1.0,1.0,3.0,2.0,No opinion of CEO,,,Selective Insurance Group,0.0,0.3818,0.0,0.3818
71,Sat May 19 2012,,, ,,2,,organization advice management revisit good great encourage support diversity views look window credit look,revisit good great encourage support diversity views look window credit look,4.0,3.5,3.0,4.0,4.0,,Recommends,,Approves of CEO,Selective Insurance Group,0.0,0.9393,0.0,0.9393
72,Fri Jan 15 2021, Team Member,,Current Employee ,,1,,site palm beach gardens nightmare favoritism discrimination occurring not addressed anonymous company evaluations site palm beach gardens nightmare favoritism discrimination occurring not addressed anonymous company evaluations,,2.0,4.0,2.0,1.0,2.0,5.0,Doesn't Recommend,,,Zimmer Biomet Holdings,0.0,0.34,0.0,0.0
73,Thu Feb 04 2021, EHS Specialist,"Mocksville, NC",Current Employee ,,0,company values family oriented great ceo great salaries 401k match diversity,,,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO,Ingersoll Rand,0.0,0.0,0.8979,0.0
74,Wed Nov 18 2020, Senior Manager,"Davidson, NC",Current Employee ,,0,promotes values great opportunity business growth diversity valued business,,,5.0,4.0,5.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO,Ingersoll Rand,0.0,0.0,0.9477,0.0
75,Wed Dec 02 2020, Vice President Marketing,"Davidson, NC",Current Employee ,,0,,rigid slow change operational not diverse advice management promote diversity,promote diversity,4.0,3.0,4.0,2.0,4.0,3.0,Recommends,Positive Outlook,Approves of CEO,Ingersoll Rand,0.0,0.2732,0.0,0.3818
76,Mon Oct 12 2020, Quality Manager,"Charlotte, NC",Current Employee ,,0,purpose values lived daily diversity inclusion part core values tremendous growth ahead employees purpose values lived daily diversity inclusion part core values tremendous growth ahead employees considered owners,,,5.0,4.0,5.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO,Ingersoll Rand,0.0,0.0,0.9391,0.0
77,Mon Oct 05 2020, Management,,Former Employee ,,4,,great touts two women board black leader meanwhile 0 150 senior leaders whole company black let stripped away culture non existent care less diversity inclusion sound town halls would think,,1.0,3.0,1.0,1.0,1.0,2.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO,Ingersoll Rand,0.0,0.802,0.0,0.0
78,Fri Sep 04 2020,Anonymous,"Los Angeles, CA",Former Employee ,,1,,literally know nothing job 3 people went disability leave stress depression anxiety attacks indicative management literally know nothing job 3 people went disability leave stress depression anxiety attacks indicative management,,2.0,1.0,1.0,2.0,3.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO,Ingersoll Rand,0.0,-0.9666,0.0,0.0
79,Wed Aug 05 2020,Anonymous,"Davidson, NC",Current Employee ,,0,,perspectives diversity board directors 50 includes black hispanic female members individuals historically represented upper pretty absurd advice management demonstrate humility admit diversity issue needs addressed claiming board directors disingenuous also ignores lack l1 diversity hiring diversity inclusion leader good start needs consider,perspectives diversity board directors 50 includes black hispanic female members individuals historically represented upper demonstrate humility admit diversity issue needs addressed claiming board directors disingenuous also ignores lack l1 diversity hiring diversity inclusion leader good start needs consider,3.0,4.0,2.0,2.0,4.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO,Ingersoll Rand,0.0,0.5423,0.0,0.0772
80,Fri May 29 2020, Quality Manager,"Charlotte, NC",Former Employee ,,0,diversity employee development 401k,,,5.0,4.0,5.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO,Ingersoll Rand,0.0,0.0,0.0,0.0
81,Tue May 26 2020, Program Manager,,Current Employee ,,3,,bias action time remain committed inclusion ensuring hear different perspectives opinions decision making process,,3.0,5.0,4.0,2.0,3.0,1.0,Doesn't Recommend,Positive Outlook,No opinion of CEO,Ingersoll Rand,0.0,0.4215,0.0,0.0
82,Wed Mar 25 2020, Senior Human Resources Manager,"Quincy, IL",Current Employee ,,0,opportunities advancement growth learning every single day superior leadership embraces diversity inclusion places ownership employee advancement growth learning every single day superior leadership embraces diversity inclusion places ownership employee,,,5.0,3.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO,Ingersoll Rand,0.0,0.0,0.93,0.0
83,Wed Mar 25 2020, Minnesota,"Saint Paul, MN",Former Employee ,,0,,feedback concern agree need better illustrate company’s diversity inclusion commitment year ago president ceo vicente reynal signed site shows advice management want achieve greater gender general diversity need make sure create concern agree need better illustrate company’s diversity inclusion commitment year ago president ceo vicente reynal signed ceo,feedback concern agree need better illustrate company’s diversity inclusion commitment year ago president ceo vicente reynal signed want achieve greater gender general diversity need make sure create concern agree need better illustrate company’s diversity inclusion commitment year ago president ceo vicente reynal signed ceo,4.0,5.0,3.0,3.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO,Ingersoll Rand,0.0,0.9648,0.0,0.9648
